5 0
6 0
7 0
8 0
9 0
10 0.0243302
11 0.0185139
12 0.0197427
13 0.0195789
14 0.0202342
15 0.019415
16 0.0187597
17 0.0190054
18 0.02048
19 0.0192512
20 0.019415
21 0.0192512
22 0.0196608
23 0.0192512
24 0.0193331
25 0.019497
26 0.0198246
27 0.0190874
28 0.0195789
29 0.0190874
30 0.0199066
31 0.0201523
32 0.0191693
33 0.0202342
34 0.0197427
35 0.0196608
36 0.02048
37 0.0192512
38 0.0199885
39 0.0198246
40 0.0196608
41 0.0200704
42 0.0197427
43 0.0198246
44 0.0200704
45 0.0198246
46 0.0193331
47 0.0191693
48 0.0199885
49 0.0203162
50 0.0197427
51 0.0200704
52 0.0205619
53 0.0202342
54 0.0198246
55 0.0202342
56 0.0201523
57 0.02048
58 0.0189235
59 0.0199066
60 0.0189235
61 0.0202342
62 0.0203981
63 0.0191693
64 0.0198246
65 0.019497
66 0.0202342
67 0.0200704
68 0.0200704
69 0.0188416
70 0.0203162
71 0.0199885
72 0.0191693
73 0.0198246
74 0.019497
75 0.0191693
76 0.0203981
77 0.0230195
78 0.0230195
79 0.0232653
80 0.0232653
81 0.0203162
82 0.0199885
83 0.0199066
84 0.0199885
85 0.0199885
86 0.0197427
87 0.0200704
88 0.0199066
89 0.0202342
90 0.0199885
91 0.0199066
92 0.0198246
93 0.0199066
94 0.0198246
95 0.0198246
96 0.0198246
97 0.0199066
98 0.0198246
99 0.0198246
100 0.0202342
101 0.0200704
102 0.0199885
103 0.0199066
104 0.0198246
